respondent_id,region_str,psu,weight,age,female,educ_raw,income_k,trust_gov,trust_media,trust_science,trust_local,policy_support,voted_last_election,satisfaction
1,west,26,0.7188,26,1,3,52.3,1,4,1,1,2,0,5.9
2,SOUTH,27,0.6524,57,0,3,44.1,3,1,1,4,4,0,8.8
3, northeast,3,1.0679,71,1,4,,1,5,3,-99,4,1,7.7
4,Midwest ,6,1.1787,18,0,2,26.0,4,5,3,3,4,0,6.3
5, northeast,7,1.2861,46,0,3,40.5,5,2,3,1,4,0,4.8
6,Midwest ,1,1.2298,18,1,4,N/A,3,-99,3,3,4,0,7.1
7,SOUTH,22,0.9895,53,1,4,34.6,3,2,4,3,4,1,5.5
8,Midwest ,25,1.1229,38,0,4,26.5,5,5,2,1,3,1,6.2
9, northeast,23,1.4376,53,0,4,20.8,3,1,3,3,4,0,4.9
10,west,27,0.899,23,0,2,12.9,3,4,4,1,4,1,4.2
11, northeast,4,1.2749,35,0,1,30.6,2,4,3,1,4,0,5.2
12, northeast,24,1.3346,50,0,3,26.3,2,1,2,1,4,1,6.7
13,Midwest ,15,1.033,30,1,4,47.8,1,1,1,3,4,1,9.8
14,west,19,0.7812,31,1,3,25.8,3,1,1,1,2,0,3.6
15,west,17,0.8131,48,0,1,16.3,1,1,1,1,2,0,5.2
16,Midwest ,14,1.3252,29,1,2,42.6,4,5,5,5,4,1,8.3
17,west,1,0.8494,45,0,3,41.9,3,3,5,3,4,0,7.3
18,west,18,0.5306,35,1,3,11.2,4,2,1,1,4,0,4.3
19,SOUTH,6,0.8771,18,1,5,N/A,5,5,5,3,4,1,7.9
20,Midwest ,18,1.1316,24,0,2,48.9,4,1,2,1,3,0,4.4
21,Midwest ,19,1.081,35,0,3,12.2,1,1,1,1,3,1,7.3
22,SOUTH,23,0.7291,67,0,2,20.4,3,4,4,4,3,1,6.1
23,SOUTH,6,0.8441,54,1,4,11.6,1,5,-99,3,4,1,6.4
24,Midwest ,8,0.8199,84,0,3,50.5,1,3,2,2,3,1,5.3
25,SOUTH,2,0.6391,48,0,3,28.0,2,1,1,1,4,1,4.4
26,west,13,0.679,55,1,3,34.2,5,1,4,-99,4,1,5.2
27,west,4,0.6739,38,1,2,18.9,1,1,1,4,4,1,4.8
28,SOUTH,29,0.7084,30,0,1,28.9,5,1,1,5,4,0,7.8
29,Midwest ,3,1.1898,58,0,3,78.9,4,4,5,5,4,1,6.5
30, northeast,25,1.414,59,0,4,30.6,2,2,1,1,2,1,4.7
31,Midwest ,5,1.0067,54,1,4,21.1,3,2,1,-99,4,1,7.2
32, northeast,30,0.8302,44,0,3,51.4,1,1,1,1,3,0,3.7
33,Midwest ,9,0.9178,44,1,2,36.7,2,1,4,2,2,1,4.9
34,SOUTH,5,0.7633,57,1,2,19.6,4,4,4,-99,4,1,6.3
35, northeast,6,1.7004,39,0,3,23.5,3,2,2,2,2,0,4.0
36,Midwest ,13,1.1735,34,0,2,37.5,1,1,2,-99,4,1,5.2
37,west,5,0.6883,40,0,1,48.9,5,5,5,5,4,0,5.2
38, northeast,6,1.4686,62,0,3,13.5,1,5,1,2,2,1,6.1
39,SOUTH,16,0.7122,52,1,1,41.6,4,2,-99,4,4,0,7.0
40,Midwest ,2,1.3379,58,0,2,N/A,2,5,1,4,4,1,5.8
41,SOUTH,21,0.8058,21,1,2,14.5,5,5,3,2,4,0,5.6
42,Midwest ,29,1.213,56,0,1,40.0,5,5,5,4,4,0,6.7
43,Midwest ,27,1.1373,40,0,2,8.4,1,3,2,-99,4,0,7.9
44,SOUTH,25,1.0091,18,0,1,13.3,5,5,5,5,4,0,7.0
45,SOUTH,11,0.8786,62,1,5,41.8,1,3,1,1,2,1,6.3
46, northeast,10,1.5088,19,1,4,37.7,3,1,1,3,3,0,7.0
47,west,5,0.694,44,1,3,32.6,5,5,5,5,4,0,8.5
48,west,16,0.9491,90,0,2,54.5,1,3,-99,4,3,0,6.3
